URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,68.0,35.0,0.32038834640399666,0.025875742359361353,25.17283950617284,0.3388916135360471,10.204692447883554,25.17283950617284,691.0,2039.0,2.101029916625797,6.0,5.503187837175086
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,63.0,39.0,0.23529411534025377,0.040785128975629026,22.405405405405407,0.24004825090470447,9.058181462524045,22.405405405405407,398.0,1658.0,1.8341375150784076,10.0,4.794330518697225
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,68.0,39.0,0.27102803485020527,0.03250912914101082,22.0561797752809,0.31940906775343864,8.950235537213734,22.0561797752809,627.0,1963.0,2.018848700967906,4.0,5.239429444727458
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,66.0,28.0,0.4042553148483477,0.028067445935554252,21.448275862068964,0.23311897106109325,8.672557933252023,21.448275862068964,435.0,1866.0,1.8236870310825295,25.0,4.717041800643087
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61.0,23.0,0.45238094699546494,0.020572263970546664,22.858823529411765,0.25681935151827073,9.246257152372015,22.858823529411765,499.0,1943.0,1.8826556870818323,20.0,5.030880082346886
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,47.0,24.0,0.3239436574092443,0.02815271253386173,24.983050847457626,0.2537313432835821,10.094712876296484,24.983050847457626,374.0,1474.0,1.8724559023066485,35.0,4.952510176390773
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,30.0,13.0,0.39534882801514354,0.0214669051386991,19.74,0.25430597771023306,7.997722391084093,19.74,251.0,987.0,1.8328267477203648,13.0,4.894630192502533
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,1.0,3.0,-0.49999987500003124,0.07575757724976943,12.666666666666666,0.17105263157894737,5.135087719298245,12.666666666666666,13.0,76.0,1.8289473684210527,0.0,4.947368421052632
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,40.0,14.0,0.48148147256515794,0.026282180483272192,23.075,0.24485373781148428,9.327941495124595,23.075,226.0,923.0,1.8418201516793067,3.0,4.862405200433369
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,1.0,3.0,-0.49999987500003124,0.07575757724976943,12.666666666666666,0.17105263157894737,5.135087719298245,12.666666666666666,13.0,76.0,1.8289473684210527,0.0,4.947368421052632
